阿姨|āyí|aunt
瓶子|píngzi|bottle
其实|qíshí|actually, in fact
其他|qítā|other
骑|qí|to ride
奇怪|qíguài|strange, weird
起来|qǐlái|to get up, to rise
起飞|qǐfēi|to take off
清楚|qīngchu|clear, clearly
请假|qǐngjià|to ask for leave
秋|qiū|autumn, fall
裙子|qúnzi|skirt
然后|ránhòu|then, afterwards
热情|rèqíng|enthusiastic, warm
认为|rènwéi|to think, to believe
认真|rènzhēn|serious, earnest
容易|róngyì|easy
如果|rúguǒ|if
伞|sǎn|umbrella
上网|shàngwǎng|to surf the internet
生气|shēngqì|angry
声音|shēngyīn|sound, voice
试|shì|to try
世界|shìjiè|world
瘦|shòu|thin, slim
舒服|shūfu|comfortable
叔叔|shūshu|uncle
树|shù|tree
数学|shùxué|mathematics
刷牙|shuāyá|to brush teeth
双|shuāng|pair, double
水平|shuǐpíng|level, standard
司机|sījī|driver
太阳|tàiyáng|sun
特别|tèbié|especially, special
疼|téng|to hurt, ache
提高|tígāo|to improve, to raise
体育|tǐyù|sports, physical education
甜|tián|sweet
条|tiáo|measure word (long things)
同事|tóngshì|colleague
同意|tóngyì|to agree
头发|tóufa|hair
突然|tūrán|suddenly
图书馆|túshūguǎn|library
腿|tuǐ|leg
完成|wánchéng|to complete
碗|wǎn|bowl
万|wàn|ten thousand
忘记|wàngjì|to forget
为|wèi|for, because of
为了|wèile|in order to
位|wèi|measure word (people, polite)
文化|wénhuà|culture
西|xī|west
习惯|xíguàn|habit, to be used to
洗手间|xǐshǒujiān|restroom, bathroom
洗澡|xǐzǎo|to shower, to bathe
夏|xià|summer
先|xiān|first
香蕉|xiāngjiāo|banana
相信|xiāngxìn|to believe
向|xiàng|towards, facing
像|xiàng|to resemble, like
小心|xiǎoxīn|careful, watch out
校长|xiàozhǎng|principal, headmaster
新闻|xīnwén|news
新鲜|xīnxiān|fresh
信用卡|xìnyòngkǎ|credit card
行李箱|xínglixiāng|suitcase
熊猫|xióngmāo|panda
需要|xūyào|to need
选择|xuǎnzé|to choose, choice
要求|yāoqiú|requirement, to demand
爷爷|yéye|grandpa (paternal)
一定|yídìng|certainly, must
一共|yígòng|altogether, in total
一会儿|yíhuìr|a moment, a while
一样|yíyàng|same, alike
以前|yǐqián|before, in the past
一般|yìbān|ordinary, generally
一边|yìbiān|one side, while
一直|yìzhí|always, straight
音乐|yīnyuè|music
银行|yínháng|bank
饮料|yǐnliào|drink, beverage
应该|yīnggāi|should, ought to
影响|yǐngxiǎng|influence, to affect
用|yòng|to use
游戏|yóuxì|game
有名|yǒumíng|famous
又|yòu|again, also
遇到|yùdào|to encounter, to meet
元|yuán|yuan (currency)
愿意|yuànyì|willing to
月亮|yuèliang|moon
越|yuè|the more
站|zhàn|station, stop
张|zhāng|measure word (flat things)
长|zhǎng|to grow
着急|zháojí|anxious, worried
照顾|zhàogù|to take care of
照片|zhàopiàn|photo
照相机|zhàoxiàngjī|camera
只|zhī|measure word (animals)
只|zhǐ|only
只有……才……|zhǐyǒu...cái|only if...then...
中文|zhōngwén|Chinese language
中间|zhōngjiān|middle, between
终于|zhōngyú|finally, at last
种|zhǒng|kind, type, species
重要|zhòngyào|important
周末|zhōumò|weekend
主要|zhǔyào|main, primary
注意|zhùyì|to pay attention
自己|zìjǐ|oneself, self
自行车|zìxíngchē|bicycle
总是|zǒngshì|always
嘴|zuǐ|mouth
最后|zuìhòu|last, finally
最近|zuìjìn|recently, lately
作业|zuòyè|homework
